country,country_code,start_year,end_year,window,beta_loglog,r2_loglog,n
China,CHN,1990,2004,15,2.2632151853218843,0.8924565333269054,15
China,CHN,1991,2005,15,1.8815778680962025,0.8896193359009807,15
China,CHN,1992,2006,15,1.6444266940095933,0.8926243379898822,15
China,CHN,1993,2007,15,1.510289196391906,0.9090331547812959,15
China,CHN,1994,2008,15,1.4432185942103357,0.9297009177649445,15
China,CHN,1995,2009,15,1.394168601497291,0.9465428822208388,15
China,CHN,1996,2010,15,1.3369816989023127,0.9672176174377658,15
China,CHN,1997,2011,15,1.292997911254714,0.9815587077955156,15
China,CHN,1998,2012,15,1.2736317921193647,0.9870094394671571,15
China,CHN,1999,2013,15,1.2743807790688653,0.9869674292713315,15
China,CHN,2000,2014,15,1.294405008596722,0.9833881487962481,15
China,CHN,2001,2015,15,1.3445009061170057,0.9761073662942381,15
China,CHN,2002,2016,15,1.4419327250576581,0.9664244216164405,15
China,CHN,2003,2017,15,1.59404863245815,0.9670673416741806,15
China,CHN,2004,2018,15,1.7393089097608292,0.9700864754636955,15
China,CHN,2005,2019,15,1.8369762570419488,0.9693410604333609,15
China,CHN,2006,2020,15,1.8902275986953105,0.966909841762392,15
China,CHN,2007,2021,15,1.8901049133592964,0.9626670748097929,15
China,CHN,2008,2022,15,1.8846852705873316,0.9580601191081397,15
China,CHN,2009,2023,15,1.8783639369353498,0.9505891461861278,15
Germany,DEU,1990,2004,15,-0.8360734334109053,0.03528516204104959,15
Germany,DEU,1991,2005,15,0.4658033474134554,0.009399220977843514,15
Germany,DEU,1992,2006,15,1.7825836413017981,0.16176871450663377,15
Germany,DEU,1993,2007,15,0.4259692269274415,0.010236175123328861,15
Germany,DEU,1994,2008,15,-0.5024098765274724,0.014399487332397487,15
Germany,DEU,1995,2009,15,-0.7905641044790488,0.11238455848184481,15
Germany,DEU,1996,2010,15,-0.9794395021225059,0.2067667904400079,15
Germany,DEU,1997,2011,15,-0.9394948762310015,0.28724537636755965,15
Germany,DEU,1998,2012,15,-0.9201435243697356,0.35105065518956213,15
Germany,DEU,1999,2013,15,-0.8964765582726448,0.3653390979744915,15
Germany,DEU,2000,2014,15,-0.9367677716842959,0.5168590201496,15
Germany,DEU,2001,2015,15,-0.9806170433078244,0.5943394344634532,15
Germany,DEU,2002,2016,15,-1.0658498201761424,0.5934198695552229,15
Germany,DEU,2003,2017,15,-1.127239212931955,0.5756648916266431,15
Germany,DEU,2004,2018,15,-1.1497857574211074,0.6024078388061602,15
Germany,DEU,2005,2019,15,-1.1434320577640371,0.6190382418429762,15
Germany,DEU,2006,2020,15,-0.8135340733586198,0.5134695722341857,15
Germany,DEU,2007,2021,15,-0.8744997518621307,0.5080806407044343,15
Germany,DEU,2008,2022,15,-0.8109354060899534,0.5391074301911221,15
Germany,DEU,2009,2023,15,-0.5578649777295787,0.4550168519145732,15
France,FRA,1990,2004,15,1.6050509403456732,0.8801958019711436,15
France,FRA,1991,2005,15,1.677620314147828,0.8912332358030551,15
France,FRA,1992,2006,15,1.6944501402127812,0.8945737746962932,15
France,FRA,1993,2007,15,1.7704612807338764,0.850868565673532,15
France,FRA,1994,2008,15,1.7676899633439493,0.8205181625119168,15
France,FRA,1995,2009,15,1.9163978173290865,0.7040581480153201,15
France,FRA,1996,2010,15,1.965306100096376,0.607874367672449,15
France,FRA,1997,2011,15,1.6923765486327165,0.4992752294943684,15
France,FRA,1998,2012,15,1.2975861076862871,0.26029032733294777,15
France,FRA,1999,2013,15,0.7671768022985013,0.09568401733279852,15
France,FRA,2000,2014,15,-0.3251264861734443,0.021509812243822868,15
France,FRA,2001,2015,15,-1.0767082498836094,0.2578401246524138,15
France,FRA,2002,2016,15,-1.194471980132438,0.4598737056338562,15
France,FRA,2003,2017,15,-1.266259825826213,0.689552070466476,15
France,FRA,2004,2018,15,-1.2076712941907988,0.786351729267162,15
France,FRA,2005,2019,15,-1.2025420148174073,0.7988506527943914,15
France,FRA,2006,2020,15,-0.44112021305649757,0.294748852943825,15
France,FRA,2007,2021,15,-0.4513926879316662,0.30499206702990944,15
France,FRA,2008,2022,15,-0.46547414406446974,0.43156267249852953,15
France,FRA,2009,2023,15,-0.5045961517905607,0.506530033613218,15
India,IND,1990,2004,15,1.541156161916987,0.9900981558973062,15
India,IND,1991,2005,15,1.620458621207469,0.9942931474364398,15
India,IND,1992,2006,15,1.6502122432651911,0.9949292522077657,15
India,IND,1993,2007,15,1.6603379102598341,0.9956316822364233,15
India,IND,1994,2008,15,1.6231364135846698,0.9918289191777508,15
India,IND,1995,2009,15,1.557038870479231,0.985508504705736,15
India,IND,1996,2010,15,1.4898712915928265,0.9831771685995501,15
India,IND,1997,2011,15,1.4401148208978085,0.9819992663700379,15
India,IND,1998,2012,15,1.369249516235489,0.9824785305559588,15
India,IND,1999,2013,15,1.33639706471656,0.9849577711403512,15
